BODYKG,BRAINGR
6654.00,5712.00
1.00,6.60
3.39,44.50
0.92,5.70
2547.00,4603.00
10.55,179.50
0.02,0.30
160.00,169.00
3.30,25.60
52.16,440.00
0.43,6.40
465.00,423.00
0.55,2.40
187.10,419.00
0.08,1.20
3.00,25.00
0.79,3.50
0.20,5.00
1.41,17.50
60.00,81.00
529.00,680.00
27.66,115.00
0.12,1.00
207.00,406.00
85.00,325.00
36.33,119.50
0.10,4.00
1.04,5.50
521.00,655.00
100.00,157.00
35.00,56.00
0.01,0.14
0.01,0.25
62.00,1320.00
0.12,3.00
1.35,8.10
0.02,0.40
0.05,0.33
1.70,6.30
3.50,10.80
250.00,490.00
0.48,15.50
10.00,115.00
1.62,11.40
192.00,180.00
2.50,12.10
4.29,39.20
0.28,1.90
4.24,50.40
6.80,179.00
0.75,12.30
3.60,21.00
83.00,98.20
55.50,175.00
1.40,12.50
0.06,1.00
0.90,2.60
2.00,12.30
0.10,2.50
4.19,58.00
3.50,3.90
4.05,17.00