January,Feburary,March,April,May,June,July,August,September,October,November,December
-0.9833333333,-0.6833333333,-0.2833333333,-0.2833333333,0.2166666667,0.7166666667,0.6166666667,0.4166666667,0.1166666667,-0.08333333333,0.4166666667,-0.1833333333
-0.9583333333,-0.5583333333,-0.1583333333,-0.05833333333,0.4416666667,0.5416666667,0.5416666667,0.04166666667,0.1416666667,0.04166666667,0.4416666667,-0.4583333333
-0.8833333333,-0.3833333333,-0.1833333333,-0.08333333333,0.3166666667,0.4166666667,0.6166666667,-0.1833333333,0.1166666667,0.1166666667,0.3166666667,-0.1833333333
-1.875,-1.475,-1.175,-0.775,-0.075,0.425,1.025,0.325,0.725,0.925,1.225,0.725
-1.183333333,-0.7833333333,-0.3833333333,0.01666666667,0.3166666667,0.3166666667,0.5166666667,-0.1833333333,0.6166666667,0.1166666667,0.5166666667,0.1166666667
-0.7833333333,-0.4833333333,0.2166666667,0.01666666667,0.4166666667,0.8166666667,0.3166666667,-0.4833333333,0.3166666667,-0.1833333333,0.1166666667,-0.2833333333
0.5666666667,0.7666666667,0.9666666667,0.8666666667,1.266666667,0.5666666667,0.4666666667,0.06666666667,-0.6333333333,-1.133333333,-1.333333333,-2.433333333
0.7166666667,0.5166666667,0.2166666667,0.1166666667,0.6166666667,0.01666666667,0.1166666667,-0.3833333333,-0.3833333333,-0.1833333333,-0.4833333333,-0.8833333333
-0.175,-0.175,-0.375,0.025,0.325,0.025,0.725,-0.175,-0.075,0.225,-0.075,-0.275
-0.1583333333,-0.1583333333,-0.05833333333,0.5416666667,0.5416666667,0.1416666667,0.8416666667,-0.05833333333,-0.2583333333,-0.3583333333,-0.3583333333,-0.6583333333
0.1666666667,0.06666666667,0.2666666667,0.3666666667,0.4666666667,0.6666666667,0.4666666667,-0.1333333333,0.2666666667,-0.4333333333,-1.033333333,-1.133333333
-0.7333333333,-0.7333333333,-0.4333333333,-0.2333333333,0.06666666667,0.2666666667,0.2666666667,0.2666666667,0.1666666667,0.1666666667,0.5666666667,0.3666666667
-1.316666667,-1.116666667,-0.8166666667,-0.3166666667,0.4833333333,0.1833333333,0.3833333333,0.3833333333,0.2833333333,0.3833333333,0.8833333333,0.5833333333