County,State,Education.Bachelor's Degree or Higher,Population.2020 Population
Dillon County,SC,11.1,28292
Dimmit County,TX,13.6,8615
Dinwiddie County,VA,18.6,27947
District of Columbia,DC,58.5,689545
Divide County,ND,18.5,2195
Dixie County,FL,10.4,16759
Dixon County,NE,21.2,5606
Doddridge County,WV,17.1,7808
Dodge County,GA,14.3,19925
Dodge County,MN,25.7,20867
Dodge County,NE,19,37167
Dodge County,WI,17,89396
Dolores County,CO,24.1,2326
Doniphan County,KS,21.1,7510
Donley County,TX,17.9,3258
Dooly County,GA,12.1,11208
Door County,WI,33.7,30066
Dorchester County,MD,21.2,32531
Dorchester County,SC,28.2,161540
Dougherty County,GA,21.4,85790
Douglas County,CO,58,357978
Douglas County,GA,28.2,144237
Douglas County,IL,18.9,19740
Douglas County,KS,49.6,118785
Douglas County,MN,26,39006
Douglas County,MO,10.8,11578
Douglas County,NE,39.7,584526
Douglas County,NV,29.4,49488
Douglas County,OR,17.3,111201
Douglas County,SD,15.5,2835
Douglas County,WA,20.5,42938
Douglas County,WI,24.1,44295
Dona Ana County,NM,27.1,219561
Drew County,AR,22.8,17350
DuPage County,IL,49.4,932877
Dubois County,IN,23.7,43637
Dubuque County,IA,30.8,99266
Duchesne County,UT,14.7,19596
Dukes County,MA,44.9,20600
Dundy County,NE,23.3,1654
Dunklin County,MO,13.8,28283
Dunn County,ND,21.3,4095
Dunn County,WI,27.9,45440
Duplin County,NC,12.1,48715
Durham County,NC,48.2,324833
Dutchess County,NY,35,295911
Duval County,FL,30,995567
Duval County,TX,9,9831
Dyer County,TN,16.1,36801
Eagle County,CO,47.2,55731
Early County,GA,15.1,10854
East Baton Rouge Parish,LA,34.9,456781
East Carroll Parish,LA,8.9,7459
East Feliciana Parish,LA,12.7,19539
Eastland County,TX,16,17725
Eaton County,MI,27.8,109175
Eau Claire County,WI,32.3,105710
Echols County,GA,9.7,3697
Ector County,TX,15.4,165171
Eddy County,ND,26.2,2347
Eddy County,NM,16.2,62314
Edgar County,IL,17.2,16866
Edgecombe County,NC,13.6,48900
Edgefield County,SC,16.7,25657
Edmonson County,KY,10.3,12126
Edmunds County,SD,26.3,3986
Edwards County,IL,13.9,6245
Edwards County,KS,18.1,2907
Edwards County,TX,18.2,1422
Effingham County,GA,20,64769
Effingham County,IL,22.7,34668
El Dorado County,CA,34.3,191185
El Paso County,CO,38.5,730395
El Paso County,TX,23.3,865657
Elbert County,CO,35.8,26062
Elbert County,GA,11.6,19637
Elk County,KS,15.6,2483
Elk County,PA,19.6,30990
Elkhart County,IN,19.8,207047
Elko County,NV,16.6,53702
Elliott County,KY,9.7,7354
Ellis County,KS,36.3,28934
Ellis County,OK,20.1,3749
Ellis County,TX,24.3,192455
Ellsworth County,KS,19.5,6376
Elmore County,AL,25.1,87977
Elmore County,ID,18.7,28666
Emanuel County,GA,13,22768
Emery County,UT,16.3,9825
Emmet County,IA,18.8,9388
Emmet County,MI,33.4,34112
Emmons County,ND,18.2,3301
Emporia city,VA,13.8,5766
Erath County,TX,31.5,42545
Erie County,NY,34.4,954236
Erie County,OH,23.2,75622
Erie County,PA,27.9,270876
Escambia County,AL,12.5,36757
Escambia County,FL,26.5,321905
Esmeralda County,NV,16.1,729
Essex County,MA,39.9,809829
Essex County,NJ,35.5,863728
Essex County,NY,26.8,37381
Essex County,VA,17.4,10599
Essex County,VT,16.2,5920
Estill County,KY,9.9,14163
Etowah County,AL,17.8,103436
Eureka County,NV,8.8,1855
Evangeline Parish,LA,11.6,32350
Evans County,GA,15.8,10774
Fairbanks North Star Borough,AK,31.4,95655
Fairfax County,VA,61.6,1150309
Fairfax city,VA,60.8,24146
Fairfield County,CT,47.9,957419
Fairfield County,OH,27.6,158921
Fairfield County,SC,16.9,20948
Fall River County,SD,21.1,6973
Fallon County,MT,19,3049
Falls Church city,VA,77.6,14658
Falls County,TX,12.4,16968
Fannin County,GA,21.8,25319
Fannin County,TX,17.4,35662
Faribault County,MN,18.6,13921
Faulk County,SD,26.9,2125
Faulkner County,AR,30.6,123498
Fauquier County,VA,36.4,72972
Fayette County,AL,12.4,16321
Fayette County,GA,46.2,119194
Fayette County,IA,18.3,19509
Fayette County,IL,11.3,21488
Fayette County,IN,13.3,23398
Fayette County,KY,43.6,322570
Fayette County,OH,16.3,28951
Fayette County,PA,17.3,128804
Fayette County,TN,22.2,41990
Fayette County,TX,19.7,24435
Fayette County,WV,14.8,40488
Fentress County,TN,16,18489
Fergus County,MT,29.1,11446
Ferry County,WA,18.8,7178
Fillmore County,MN,22.2,21228
Fillmore County,NE,21.4,5551
Finney County,KS,17.1,38470
Fisher County,TX,18.6,3672
Flagler County,FL,25.1,115378
Flathead County,MT,31,104357
Fleming County,KY,12.9,15082
Florence County,SC,23.6,137059
Florence County,WI,19.9,4558
Floyd County,GA,20.9,98584
Floyd County,IA,19.8,15627
Floyd County,IN,29.6,80484
Floyd County,KY,11.3,35942
Floyd County,TX,15.9,5402
Floyd County,VA,22.1,15476
Fluvanna County,VA,33.9,27249
Foard County,TX,16.2,1095
Fond du Lac County,WI,23.1,104154
Ford County,IL,21.4,13534
Ford County,KS,17.7,34287
Forest County,PA,8.1,6973
Forest County,WI,14.7,9179
Forrest County,MS,27.8,78158
Forsyth County,GA,53.1,251283
Forsyth County,NC,34,382590
Fort Bend County,TX,46.2,822779
Foster County,ND,26.7,3397
Fountain County,IN,14.9,16479
Franklin County,AL,14,32113
Franklin County,AR,12.1,17097
Franklin County,FL,18.8,12451
Franklin County,GA,15.9,23424
Franklin County,IA,18,10019
Franklin County,ID,17.7,14194
Franklin County,IL,16.7,37804
Franklin County,IN,21.1,22785
Franklin County,KS,20.4,25996
Franklin County,KY,29.9,51541
Franklin County,MA,37.3,71029
Franklin County,ME,24.8,29456
Franklin County,MO,20.9,104682
Franklin County,MS,12,7675
Franklin County,NC,22,68573
Franklin County,NE,17.3,2889
Franklin County,NY,19.1,47555
Franklin County,OH,40,1323807
Franklin County,PA,21.6,155932
Franklin County,TN,20.8,42774
Franklin County,TX,26.6,10359
Franklin County,VA,21.9,54477
Franklin County,VT,24.1,49946
Franklin County,WA,17.7,96749
Franklin Parish,LA,12,19774
Franklin city,VA,19.1,8180
Frederick County,MD,41.4,271717
Frederick County,VA,28.3,91419
Fredericksburg city,VA,40.9,27982
Freeborn County,MN,17.1,30895
Freestone County,TX,15.3,19435
Fremont County,CO,18.5,48939
Fremont County,IA,18.9,6605
Fremont County,ID,21.7,13388
Fremont County,WY,24.3,39234
Fresno County,CA,21.2,1008654
Frio County,TX,7.3,18385
Frontier County,NE,21.5,2519
Fulton County,AR,12.2,12075
Fulton County,GA,52.9,1066710
Fulton County,IL,17.6,33609
Fulton County,IN,15.8,20480
Fulton County,KY,13.4,6515
Fulton County,NY,18.2,53324
Fulton County,OH,17.6,42713
Fulton County,PA,13.6,14556
Furnas County,NE,17.4,4636
Gadsden County,FL,16.2,43826
Gage County,NE,20.8,21704
Gaines County,TX,11.4,21598
Galax city,VA,14.8,6720
Gallatin County,IL,10.9,4946
Gallatin County,KY,11.6,8690
Gallatin County,MT,50.1,118960
Gallia County,OH,15.9,29220
Galveston County,TX,31.1,350682
Garden County,NE,22.5,1874
Garfield County,CO,31,61685
Garfield County,MT,14.3,1173
Garfield County,NE,25.5,1813
Garfield County,OK,22.9,62846
Garfield County,UT,25.9,5083
Garfield County,WA,24.5,2286
Garland County,AR,21.6,100180
Garrard County,KY,17.6,16953
Garrett County,MD,20.9,28806
Garvin County,OK,14.7,25656
Garza County,TX,13.9,5816
Gasconade County,MO,19.2,14794
Gaston County,NC,21.2,227943
Gates County,NC,14.3,10478
Geary County,KS,23.2,36739
Geauga County,OH,38,95397
Gem County,ID,17.5,19123
Genesee County,MI,21.2,406211
Genesee County,NY,22.3,58388
Geneva County,AL,12.5,26659
Gentry County,MO,19.1,6162
George County,MS,13.8,24350
Georgetown County,SC,27.3,63404
Gibson County,IN,18,33011
Gibson County,TN,18.4,50429
Gila County,AZ,18.7,53272
Gilchrist County,FL,13.4,17864
Giles County,TN,16.5,30346
Giles County,VA,18.1,16787
Gillespie County,TX,32.2,26725
Gilliam County,OR,17.4,1995
Gilmer County,GA,20.4,31353
Gilmer County,WV,17,7408
Gilpin County,CO,39.6,5808
Glacier County,MT,21.4,13778
Glades County,FL,11.2,12126
Gladwin County,MI,13.5,25386
Glascock County,GA,11.6,2884
Glasscock County,TX,27.2,1116
Glenn County,CA,14.2,28917
Gloucester County,NJ,33,302294
Gloucester County,VA,23.3,38711
Glynn County,GA,29.9,84499
Gogebic County,MI,19.4,14380
Golden Valley County,MT,22.7,823
Golden Valley County,ND,26.9,1736
Goliad County,TX,17.3,7012
Gonzales County,TX,13.1,19653
Goochland County,VA,41.8,24727
Goodhue County,MN,26,47582
Gooding County,ID,17.2,15598
Gordon County,GA,14.7,57544
Goshen County,WY,25.9,12498
Gosper County,NE,29.5,1893
Gove County,KS,19.7,2718
Grady County,GA,13.9,26236
Grady County,OK,19.9,54795
Grafton County,NH,40.6,91118
Graham County,AZ,15.2,38533
Graham County,KS,24.7,2415
Graham County,NC,12.9,8030
Grainger County,TN,10.7,23527
Grand County,CO,38,15717
Grand County,UT,28.6,9669
Grand Forks County,ND,35.6,73170
Grand Isle County,VT,39.8,7293
Grand Traverse County,MI,36,95238
Granite County,MT,28.9,3309
Grant County,AR,18.7,17958
Grant County,IN,17.9,66674
Grant County,KS,14.9,7352
Grant County,KY,12.9,24941
Grant County,MN,18.8,6074
Grant County,ND,18.1,2301
Grant County,NE,26.8,611
Grant County,NM,28.8,28185
Grant County,OK,24.6,4169
Grant County,OR,18.9,7233
Grant County,SD,21.9,7556
Grant County,WA,17.7,99123
Grant County,WI,23.8,51938
Grant County,WV,13.8,10976
Grant Parish,LA,8.5,22169
Granville County,NC,22.5,60992
Gratiot County,MI,15.4,41761
Graves County,KY,17.4,36649
Gray County,KS,20.2,5653
Gray County,TX,13.9,21227
Grays Harbor County,WA,16.5,75636
Grayson County,KY,10.5,26420
Grayson County,TX,20.4,135543
Grayson County,VA,13.7,15333
Greeley County,KS,27.2,1284
Greeley County,NE,16.3,2188
Green County,KY,13.2,11107
Green County,WI,23.6,37093
Green Lake County,WI,20.2,19018
Greenbrier County,WV,19.9,32977
Greene County,AL,10.1,7730
Greene County,AR,16.2,45736
Greene County,GA,26.9,18915
Greene County,IA,18.7,8771
Greene County,IL,12.8,11985
Greene County,IN,14.9,30803
Greene County,MO,30.5,298915
Greene County,MS,9.7,13530
Greene County,NC,11,20451
Greene County,NY,22.1,47931
Greene County,OH,39.2,167966
Greene County,PA,17.6,35954
Greene County,TN,16.7,70152
Greene County,VA,29,20552
Greenlee County,AZ,13.5,9563
Greensville County,VA,9.2,11391
Greenup County,KY,17.1,35962
Greenville County,SC,35.1,525534
Greenwood County,KS,19.9,6016
Greenwood County,SC,24.6,69351
Greer County,OK,12.3,5491
Gregg County,TX,21.3,124239
Gregory County,SD,20.2,3994
Grenada County,MS,21.3,21629
Griggs County,ND,25.8,2306
Grimes County,TX,15.7,29268
Grundy County,IA,27.9,12329
Grundy County,IL,22.9,52533
Grundy County,MO,17.1,9808
Grundy County,TN,13.2,13529
Guadalupe County,NM,7.6,4452
Guadalupe County,TX,28.2,172706
Guernsey County,OH,14.6,38438
Guilford County,NC,36,541299
Gulf County,FL,19.2,14192
Gunnison County,CO,56.2,16918
Guthrie County,IA,19.8,10623
Gwinnett County,GA,36.9,957062
Haakon County,SD,15.6,1872
Habersham County,GA,19.3,46031
Haines Borough,AK,33.8,2080
Hale County,AL,14.2,14785
Hale County,TX,17.1,32522
Halifax County,NC,14.4,48622
Halifax County,VA,15.4,34022
Hall County,GA,24.5,203136
Hall County,NE,21.5,62895
Hall County,TX,15.9,2825
Hamblen County,TN,16.8,64499
Hamilton County,FL,7.9,14004
Hamilton County,IA,24.3,15039
Hamilton County,IL,17,7993
Hamilton County,IN,59.3,347467
Hamilton County,KS,18.7,2518
Hamilton County,NE,25,9429
Hamilton County,NY,16.8,5107
Hamilton County,OH,37.9,830639
Hamilton County,TN,32.2,366207
Hamilton County,TX,22.4,8222
Hamlin County,SD,21,6164
Hampden County,MA,27.1,465825
Hampshire County,MA,48.3,162308
Hampshire County,WV,12.4,23093
Hampton County,SC,11.9,18561
Hampton city,VA,26.9,137148
Hancock County,GA,8.6,8735
Hancock County,IA,23.8,10795
Hancock County,IL,21,17620
Hancock County,IN,30.8,79840
Hancock County,KY,11.4,9095
Hancock County,ME,34.1,55478
Hancock County,MS,22,46053
Hancock County,OH,27.1,74920
Hancock County,TN,11.2,6662
Hancock County,WV,17.4,29095
Hand County,SD,22.1,3145
Hanover County,VA,39.8,109979
Hansford County,TX,15.1,5285
Hanson County,SD,18.5,3461
Haralson County,GA,14.8,29919
Hardee County,FL,10.2,25327
Hardeman County,TN,11.2,25462
Hardeman County,TX,13.7,3549
Hardin County,IA,20.8,16878
Hardin County,IL,10.8,3649
Hardin County,KY,22,110702
Hardin County,OH,16.2,30696
Hardin County,TN,15,26831
Hardin County,TX,16.8,56231
Harding County,NM,21.7,657
Harding County,SD,26,1311
Hardy County,WV,14.5,14299
Harford County,MD,36.7,260924
Harlan County,KY,10.8,26831
Harlan County,NE,22.4,3073
Harmon County,OK,20.7,2488
Harnett County,NC,21.9,133568
Harney County,OR,18.4,7495
Harper County,KS,16.2,5485
Harper County,OK,19.3,3272
Harris County,GA,31.4,34668
Harris County,TX,31.5,4731145
Harrison County,IA,19.5,14582
Harrison County,IN,18.7,39654
Harrison County,KY,14.6,18692
Harrison County,MO,16.5,8157
Harrison County,MS,23.1,208621
Harrison County,OH,11.6,14483
Harrison County,TX,19.1,68839
Harrison County,WV,23.3,65921
Harrisonburg city,VA,36.3,51814
Hart County,GA,15.7,25828
Hart County,KY,11.4,19288
Hartford County,CT,38.1,899498
Hartley County,TX,17.8,5382
Harvey County,KS,33.2,34024
Haskell County,KS,17.1,3780
Haskell County,OK,16.2,11561
Haskell County,TX,11.9,5416
Hawaii County,HI,29.4,200629
Hawkins County,TN,13.7,56721
Hayes County,NE,18.3,856
Hays County,TX,37.2,241067
Haywood County,NC,26,62089
Haywood County,TN,11,17864
Heard County,GA,8.7,11412
Hemphill County,TX,21.2,3382
Hempstead County,AR,15.1,20065
Henderson County,IL,18.3,6387
Henderson County,KY,18.2,44793
Henderson County,NC,31.8,116281
Henderson County,TN,14.4,27842
Henderson County,TX,17.3,82150
Hendricks County,IN,37,174788
Hendry County,FL,8.3,39619
Hennepin County,MN,50.1,1281565
Henrico County,VA,43.7,334389
Henry County,AL,17.1,17146
Henry County,GA,28.5,240712
Henry County,IA,19.6,20482
Henry County,IL,23.3,49284
Henry County,IN,16.4,48914
Henry County,KY,13.1,15678
Henry County,MO,15.9,21946
Henry County,OH,17.2,27662
Henry County,TN,16.5,32199
Henry County,VA,13.9,50948
Herkimer County,NY,21.5,60139
Hernando County,FL,18.4,194515
Hertford County,NC,14.9,21552
Hettinger County,ND,13,2489
Hickman County,KY,15.8,4521
Hickman County,TN,10.9,24925
Hickory County,MO,9,8279
Hidalgo County,NM,14.6,4178
Hidalgo County,TX,18.7,870781
Highland County,OH,13.4,43317
Highland County,VA,22.5,2232
Highlands County,FL,17.2,101235
Hill County,MT,25.4,16309
Hill County,TX,17.4,35874
Hillsborough County,FL,33.5,1459762
Hillsborough County,NH,38.1,422937
Hillsdale County,MI,17.3,45746
Hinds County,MS,29,227742
Hinsdale County,CO,45.7,788
Hitchcock County,NE,17.6,2616
Hocking County,OH,14.4,28050
Hockley County,TX,15.8,21537
Hodgeman County,KS,30.8,1723
Hoke County,NC,17.7,52082
Holmes County,FL,10.7,19653
Holmes County,MS,10.2,17000
Holmes County,OH,9.7,44223
Holt County,MO,19.7,4223
Holt County,NE,22.4,10127
Honolulu County,HI,35,1016508
Hood County,TX,26.4,61598
Hood River County,OR,32,23977
Hooker County,NE,26.4,711
Hoonah-Angoon Census Area,AK,21.3,2365
Hopewell city,VA,14.8,23033
Hopkins County,KY,16.5,45423
Hopkins County,TX,20.1,36787
Horry County,SC,23.6,351029
Hot Spring County,AR,13.3,33040
Hot Springs County,WY,23.7,4621
Houghton County,MI,32.6,37361
Houston County,AL,21.7,107202
Houston County,GA,28.3,163633
Houston County,MN,24.8,18843
Houston County,TN,13,8283
Houston County,TX,15.2,22066
Howard County,AR,13.6,12785
Howard County,IA,15.8,9469
Howard County,IN,21.6,83658
Howard County,MD,62.6,332317
Howard County,MO,25.2,10151
Howard County,NE,21.1,6475
Howard County,TX,12.6,34860
Howell County,MO,18,39750
Hubbard County,MN,27.4,21344
Hudson County,NJ,42.3,724854
Hudspeth County,TX,10.7,3202
Huerfano County,CO,21.1,6820
Hughes County,OK,12.9,13367
Hughes County,SD,34.7,17765
Humboldt County,CA,30.4,136463
Humboldt County,IA,21.2,9597
Humboldt County,NV,16.8,17285
Humphreys County,MS,12.8,7785
Humphreys County,TN,14.3,18990
Hunt County,TX,19.9,99956
Hunterdon County,NJ,52.7,128947
Huntingdon County,PA,17.4,44092
Huntington County,IN,20.1,36662
Huron County,MI,16,31407
Huron County,OH,14.4,58565
Hutchinson County,SD,25.2,7427
Hutchinson County,TX,14,20617
Hyde County,NC,9.2,4589
Hyde County,SD,24.5,1262
Iberia Parish,LA,13.6,69929
Iberville Parish,LA,13.9,30241
Ida County,IA,18.6,7005
Idaho County,ID,19.8,16541
Imperial County,CA,15.2,179702
Independence County,AR,17.5,37938
Indian River County,FL,29.1,159788
Indiana County,PA,23,83246
Ingham County,MI,38.9,284900
Inyo County,CA,27.2,19016
Ionia County,MI,16.4,66804
Iosco County,MI,15.9,25237
Iowa County,IA,18.8,16662
Iowa County,WI,24.6,23709
Iredell County,NC,28.4,186693
Irion County,TX,15,1513
Iron County,MI,18.5,11631
Iron County,MO,10.8,9537
Iron County,UT,29.8,57289
Iron County,WI,20,6137
Iroquois County,IL,15.9,27077
Irwin County,GA,15.1,9666
Isabella County,MI,29.1,64394
Isanti County,MN,18.5,41135
Island County,WA,33.6,86857
Isle of Wight County,VA,27,38606
Issaquena County,MS,3.2,1338
Itasca County,MN,23.1,45014
Itawamba County,MS,13.2,23863
Izard County,AR,13.1,13577
Jack County,TX,13.5,8472
Jackson County,AL,14,52579
Jackson County,AR,10.1,16755
Jackson County,CO,20,1379
Jackson County,FL,12.6,47319
Jackson County,GA,22.7,75907
Jackson County,IA,19.2,19485
Jackson County,IL,34.1,52974
Jackson County,IN,16.7,46428
Jackson County,KS,20.2,13232
Jackson County,KY,13.8,12955
Jackson County,MI,22.2,160366
Jackson County,MN,22.6,9989
Jackson County,MO,31.6,717204
Jackson County,MS,21.1,143252
Jackson County,NC,30.4,43109
Jackson County,OH,14.5,32653
Jackson County,OK,23.3,24785
Jackson County,OR,27.8,223259
Jackson County,SD,17.8,2806
Jackson County,TN,11,11617
Jackson County,TX,16.5,14988
Jackson County,WI,14.6,21145
Jackson County,WV,17.4,27791
Jackson Parish,LA,14,15031
James City County,VA,50.4,78254
Jasper County,GA,14.2,14588
Jasper County,IA,18.8,37813
Jasper County,IL,16.6,9287
Jasper County,IN,14.3,32918
Jasper County,MO,23.6,122761
Jasper County,MS,15.1,16367
Jasper County,SC,17.8,28791
Jasper County,TX,12.9,32980
Jay County,IN,11.4,20478
Jeff Davis County,GA,10.3,14779
Jeff Davis County,TX,30.5,1996
Jefferson County,AL,33.4,674721
Jefferson County,AR,18,67260
Jefferson County,CO,45.2,582910
Jefferson County,FL,22.3,14510
Jefferson County,GA,9.9,15709
Jefferson County,IA,31.5,15663
Jefferson County,ID,24.7,30891
Jefferson County,IL,17.9,37113
Jefferson County,IN,17.9,33147
Jefferson County,KS,23.2,18368
Jefferson County,KY,33.4,782969
Jefferson County,MO,20.4,226739
Jefferson County,MS,15.9,7260
Jefferson County,MT,35,12085
Jefferson County,NE,17.8,7240
Jefferson County,NY,22.2,116721
Jefferson County,OH,15.8,65249
Jefferson County,OK,14.7,5337
Jefferson County,OR,19.4,24502
Jefferson County,PA,15.9,44492
Jefferson County,TN,16.8,54683
Jefferson County,TX,19.7,256526
Jefferson County,WA,44.3,32977
Jefferson County,WI,25.4,84900
Jefferson County,WV,31.8,57701
Jefferson Davis County,MS,14.1,11321
Jefferson Davis Parish,LA,16.9,32250
Jefferson Parish,LA,26.8,440781
Jenkins County,GA,7.9,8674
Jennings County,IN,12,27613
Jerauld County,SD,22.5,1663
Jerome County,ID,16.1,24237
Jersey County,IL,20.3,21512
Jessamine County,KY,29.5,52991
Jewell County,KS,19.3,2932
Jim Hogg County,TX,13.4,4838
Jim Wells County,TX,12.2,38891
Jo Daviess County,IL,25,22035
Johnson County,AR,15.4,25749
Johnson County,GA,9.1,9189
Johnson County,IA,52.8,152854
Johnson County,IL,16,13308
Johnson County,IN,32.7,161765
Johnson County,KS,56,609863
Johnson County,KY,16.3,22680
Johnson County,MO,28.9,54013
Johnson County,NE,17.5,5290
Johnson County,TN,11.6,17948
Johnson County,TX,18.7,179927
Johnson County,WY,31.7,8447
Johnston County,NC,22.9,215999
Johnston County,OK,20.1,10272
Jones County,GA,19.6,28347
Jones County,IA,19.5,20646
Jones County,MS,20.8,67246
Jones County,NC,12.2,9172
Jones County,SD,25.7,917
Jones County,TX,11.7,19663
Josephine County,OR,17.5,88090
Juab County,UT,16,11786
Judith Basin County,MT,26.6,2023
Juneau City and Borough,AK,38.4,32255
Juneau County,WI,13.7,26718
Juniata County,PA,14.5,23509
Kalamazoo County,MI,38.8,261670
Kalawao County,HI,24.2,82
Kalkaska County,MI,11.9,17939
Kanabec County,MN,14.7,16032
Kanawha County,WV,25.5,180745
Kandiyohi County,MN,23.3,43732
Kane County,IL,33.1,516522
Kane County,UT,29.9,7667
Kankakee County,IL,20.8,107502
Karnes County,TX,15.3,14710
Kauai County,HI,29.2,73298
Kaufman County,TX,20.5,145310
Kay County,OK,18.9,43700
Kearney County,NE,26.7,6688
Kearny County,KS,14.7,3983
Keith County,NE,20.5,8335
Kemper County,MS,14.7,8988
Kenai Peninsula Borough,AK,24.6,58799
Kendall County,IL,36.2,131869
Kendall County,TX,42.1,44279
Kenedy County,TX,1,350
Kennebec County,ME,28.1,123642
Kenosha County,WI,26.1,169151
Kent County,DE,23.7,181851
Kent County,MD,35.1,19198
Kent County,MI,35.7,657974
Kent County,RI,33.3,170363
Kent County,TX,25.4,753
Kenton County,KY,31.7,169064
Keokuk County,IA,18.3,10033
Kern County,CA,16.4,909235
Kerr County,TX,27.4,52598
Kershaw County,SC,20.3,65403
Ketchikan Gateway Borough,AK,25.3,13948
Kewaunee County,WI,19.4,20563
Keweenaw County,MI,32,2046
Keya Paha County,NE,25,769
Kidder County,ND,17.7,2394
Kimball County,NE,16.1,3434
Kimble County,TX,22.5,4286
King County,TX,20.9,265
King County,WA,52.5,2269675
King George County,VA,36,26723
King William County,VA,21,17810
King and Queen County,VA,23.6,6608
Kingfisher County,OK,22.4,15184
Kingman County,KS,24.4,7470
Kings County,CA,14.7,152486
Kings County,NY,37.5,2736074
Kingsbury County,SD,21.5,5187
Kinney County,TX,12.1,3129
Kiowa County,CO,21.4,1446
Kiowa County,KS,28.1,2460
Kiowa County,OK,17.2,8509
Kit Carson County,CO,18.7,7087
Kitsap County,WA,33.2,275611
Kittitas County,WA,32.3,44337
Kittson County,MN,25.9,4207
Klamath County,OR,20,69413
Kleberg County,TX,24.6,31040
Klickitat County,WA,31.5,22735
Knott County,KY,14.9,14251
Knox County,IL,18.9,49967
Knox County,IN,16.9,36282
Knox County,KY,14.2,30193
Knox County,ME,33.5,40607
Knox County,MO,17.2,3744
Knox County,NE,21.6,8391
Knox County,OH,23,62721
Knox County,TN,37.6,478971
Knox County,TX,20.1,3353
Kodiak Island Borough,AK,28,13101
Koochiching County,MN,15.5,12062
Kootenai County,ID,25.2,171362
Kosciusko County,IN,23.3,80240
Kossuth County,IA,17.5,14828
La Crosse County,WI,34.9,120784
La Paz County,AZ,12,16557
La Plata County,CO,44.2,55638
La Salle County,TX,7.5,6664
LaGrange County,IN,10.5,40446
LaMoure County,ND,24.6,4093
LaPorte County,IN,18,112417
LaSalle County,IL,17.8,109658
La Salle Parish,LA,13.6,14791
Labette County,KS,18.7,20184
Lac qui Parle County,MN,18.8,6719
Lackawanna County,PA,28.3,215896
Laclede County,MO,14.6,36039
Lafayette County,AR,15.8,6308
Lafayette County,FL,11.8,8226
Lafayette County,MO,20.3,32984
Lafayette County,MS,45.6,55813
Lafayette County,WI,18.8,16611
Lafayette Parish,LA,33,241753
Lafourche Parish,LA,16.9,97557
Lake County,CA,15.5,68163
Lake County,CO,32.3,7436
Lake County,FL,24,383956
Lake County,IL,45.3,714342
Lake County,IN,22.6,498700
Lake County,MI,11.9,12096
Lake County,MN,28.8,10905
Lake County,MT,29.6,31134
Lake County,OH,27.4,232603
Lake County,OR,16.4,8160
Lake County,SD,33.1,11059
Lake County,TN,9.4,7005
Lake and Peninsula Borough,AK,16.1,1476
Lake of the Woods County,MN,16.7,3763
Lamar County,AL,11.9,13972
Lamar County,GA,15.8,18500
