County,State,Education.Bachelor's Degree or Higher,Population.2020 Population
Putnam County,TN,26.4,79854
Putnam County,WV,26.1,57440
Quay County,NM,17.1,8746
Queen Anne's County,MD,36.5,49874
Queens County,NY,32.2,2405464
Quitman County,GA,7.1,2235
Quitman County,MS,10.3,6176
Rabun County,GA,24.2,16883
Racine County,WI,25.2,197727
Radford city,VA,38,16070
Rains County,TX,13.7,12164
Raleigh County,WV,18.4,74591
Ralls County,MO,14.9,10355
Ramsey County,MN,42.3,552352
Ramsey County,ND,26.4,11605
Randall County,TX,32.4,140753
Randolph County,AL,16.5,21967
Randolph County,AR,13.8,18571
Randolph County,GA,10.3,6425
Randolph County,IL,13.3,30163
Randolph County,IN,14.3,24502
Randolph County,MO,15.1,24716
Randolph County,NC,15.7,144171
Randolph County,WV,17.3,27932
Rankin County,MS,29,157031
Ransom County,ND,19.1,5703
Rapides Parish,LA,20.9,130023
Rappahannock County,VA,35.8,7348
Ravalli County,MT,27.8,44174
Rawlins County,KS,24.1,2561
Ray County,MO,14.6,23158
Reagan County,TX,10.5,3385
Real County,TX,17.4,2758
Red Lake County,MN,16.2,3935
Red River County,TX,12.5,11587
Red River Parish,LA,13.9,7620
Red Willow County,NE,19.1,10702
Redwood County,MN,19.1,15425
Reeves County,TX,12.3,14748
Refugio County,TX,11.5,6741
Reno County,KS,20.9,61898
Rensselaer County,NY,32,161130
Renville County,MN,15.2,14723
Renville County,ND,20.1,2282
Republic County,KS,25.5,4674
Reynolds County,MO,13.7,6096
Rhea County,TN,16.9,32870
Rice County,KS,22.8,9427
Rice County,MN,28.3,67097
Rich County,UT,23,2510
Richardson County,NE,19,7871
Richland County,IL,21,15813
Richland County,MT,18.9,11491
Richland County,ND,21.3,16529
Richland County,OH,18.3,124936
Richland County,SC,39.1,416147
Richland County,WI,19,17304
Richland Parish,LA,13.2,20043
Richmond County,GA,21.4,206607
Richmond County,NC,15.7,42946
Richmond County,NY,33.9,495747
Richmond County,VA,17.7,8923
Richmond city,VA,39.6,226610
Riley County,KS,45.6,71959
Ringgold County,IA,21.4,4663
Rio Arriba County,NM,19.3,40363
Rio Blanco County,CO,22.7,6529
Rio Grande County,CO,24.5,11539
Ripley County,IN,18,28995
Ripley County,MO,10.2,10679
Ritchie County,WV,11.3,8444
Riverside County,CA,22.3,2418185
Roane County,TN,19.8,53404
Roane County,WV,13.1,14028
Roanoke County,VA,35.6,96929
Roanoke city,VA,23.4,100011
Roberts County,SD,17.3,10280
Roberts County,TX,25,827
Robertson County,KY,16.3,2193
Robertson County,TN,19.6,72803
Robertson County,TX,16.1,16757
Robeson County,NC,13.7,116530
Rock County,MN,23.8,9704
Rock County,NE,23.2,1262
Rock County,WI,22.1,163687
Rock Island County,IL,23.5,144672
Rockbridge County,VA,26.7,22650
Rockcastle County,KY,11.4,16037
Rockdale County,GA,26.3,93570
Rockingham County,NC,15.1,91096
Rockingham County,NH,41.4,314176
Rockingham County,VA,26.3,83757
Rockland County,NY,41.1,338329
Rockwall County,TX,40.7,107819
Roger Mills County,OK,16.2,3442
Rogers County,OK,24.9,95240
Rolette County,ND,19.6,12187
Rooks County,KS,23.1,4919
Roosevelt County,MT,17.4,10794
Roosevelt County,NM,23.9,19191
Roscommon County,MI,15.5,23459
Roseau County,MN,20.3,15331
Rosebud County,MT,17.8,8329
Ross County,OH,15.8,77093
Routt County,CO,49.8,24829
Rowan County,KY,25.1,24662
Rowan County,NC,18.5,146875
Runnels County,TX,18.1,9900
Rush County,IN,13.9,16752
Rush County,KS,23.7,2956
Rusk County,TX,15.5,52214
Rusk County,WI,16.6,14188
Russell County,AL,17.8,59183
Russell County,KS,23.1,6691
Russell County,KY,14.7,17991
Russell County,VA,12.2,25781
Rutherford County,NC,17.8,64444
Rutherford County,TN,32.2,341486
Rutland County,VT,30.8,60572
Sabine County,TX,17.6,9894
Sabine Parish,LA,13.3,22155
Sac County,IA,20,9814
Sacramento County,CA,30.9,1585055
Sagadahoc County,ME,36.4,36699
Saginaw County,MI,20.8,190124
Saguache County,CO,22.1,6368
Salem County,NJ,21,64837
Salem city,VA,27.9,25346
Saline County,AR,26.7,123416
Saline County,IL,19.2,23768
Saline County,KS,27.3,54303
Saline County,MO,19.4,23333
Saline County,NE,17.8,14292
Salt Lake County,UT,35.6,1185238
Saluda County,SC,16.8,18862
Sampson County,NC,13.7,59036
San Augustine County,TX,14,7918
San Benito County,CA,19.7,64209
San Bernardino County,CA,21,2181654
San Diego County,CA,38.8,3298634
San Francisco County,CA,58.1,873965
San Jacinto County,TX,11.2,27402
San Joaquin County,CA,18.8,779233
San Juan County,CO,35.7,705
San Juan County,NM,14.9,121661
San Juan County,UT,18.3,14518
San Juan County,WA,49.8,17788
San Luis Obispo County,CA,35.4,282424
San Mateo County,CA,51,764442
San Miguel County,CO,59.4,8072
San Miguel County,NM,21.4,27201
San Patricio County,TX,15.6,68755
San Saba County,TX,14.1,5730
Sanborn County,SD,21.6,2330
Sanders County,MT,17.9,12400
Sandoval County,NM,30.5,148834
Sandusky County,OH,16.1,58896
Sangamon County,IL,34.5,196343
Sanilac County,MI,14.2,40611
Sanpete County,UT,20.9,28437
Santa Barbara County,CA,34.2,448229
Santa Clara County,CA,52.4,1936259
Santa Cruz County,AZ,20.4,47669
Santa Cruz County,CA,40.8,270861
Santa Fe County,NM,41,154823
Santa Rosa County,FL,27.7,188000
Sarasota County,FL,35.4,434006
Saratoga County,NY,41.4,235509
Sargent County,ND,18.5,3862
Sarpy County,NE,39.8,190604
Sauk County,WI,24.1,65763
Saunders County,NE,25.4,22278
Sawyer County,WI,24.2,18074
Schenectady County,NY,32.1,158061
Schleicher County,TX,16.6,2451
Schley County,GA,13.3,4547
Schoharie County,NY,22.4,29714
Schoolcraft County,MI,15.6,8047
Schuyler County,IL,20.4,6902
Schuyler County,MO,12.6,4032
Schuyler County,NY,23.5,17898
Schuylkill County,PA,16.6,143049
Scioto County,OH,15.7,74008
Scotland County,MO,14.2,4716
Scotland County,NC,15.5,34174
Scott County,AR,9.3,9836
Scott County,IA,31.8,174669
Scott County,IL,15.8,4949
Scott County,IN,12,24384
Scott County,KS,25.1,5151
Scott County,KY,28.4,57155
Scott County,MN,39.9,150928
Scott County,MO,16.3,38059
Scott County,MS,11.4,27990
Scott County,TN,9.2,21850
Scott County,VA,13.3,21576
Scotts Bluff County,NE,22.9,36084
Screven County,GA,15.4,14067
Scurry County,TX,16.2,16932
Searcy County,AR,11.9,7828
Sebastian County,AR,21.3,127799
Sedgwick County,CO,19.5,2404
Sedgwick County,KS,30.9,523824
Seminole County,FL,39.6,470856
Seminole County,GA,16.2,9147
Seminole County,OK,14.3,23556
Seneca County,NY,21.1,33814
Seneca County,OH,16.8,55069
Sequatchie County,TN,15.1,15826
Sequoyah County,OK,14.4,39281
Sevier County,AR,12.8,15839
Sevier County,TN,17.4,98380
Sevier County,UT,18.5,21522
Seward County,KS,11,21964
Seward County,NE,28.9,17609
Shackelford County,TX,30.5,3105
Shannon County,MO,14.9,7031
Sharkey County,MS,19.5,3800
Sharp County,AR,10.2,17271
Shasta County,CA,22.2,182155
Shawano County,WI,15.7,40881
Shawnee County,KS,30.9,178909
Sheboygan County,WI,25.1,118034
Shelby County,AL,42.9,223024
Shelby County,IA,22.2,11746
Shelby County,IL,16.8,20990
Shelby County,IN,18.7,45055
Shelby County,KY,24.9,48065
Shelby County,MO,18.1,6103
Shelby County,OH,18.7,48230
Shelby County,TN,31.6,929744
Shelby County,TX,13.8,24022
Shenandoah County,VA,20.5,44186
Sherburne County,MN,26.6,97183
Sheridan County,KS,22,2447
Sheridan County,MT,23.9,3539
Sheridan County,ND,14.6,1265
Sheridan County,NE,22.8,5127
Sheridan County,WY,31,30921
Sherman County,KS,21.8,5927
Sherman County,NE,20.2,2959
Sherman County,OR,17.3,1870
Sherman County,TX,15,2782
Shiawassee County,MI,17,68094
Shoshone County,ID,11.5,13169
Sibley County,MN,16.4,14836
Sierra County,CA,17.9,3236
Sierra County,NM,21.1,11576
Silver Bow County,MT,27.2,35133
Simpson County,KY,14.2,19594
Simpson County,MS,16.2,25949
Sioux County,IA,29.1,35872
Sioux County,ND,15,3898
Sioux County,NE,30.6,1135
Siskiyou County,CA,23.2,44076
Sitka City and Borough,AK,33.4,8458
Skagit County,WA,26.2,129523
Skagway Municipality,AK,29.6,1240
Skamania County,WA,24.5,12036
Slope County,ND,25.9,706
Smith County,KS,22.3,3570
Smith County,MS,12.2,14209
Smith County,TN,14.4,19904
Smith County,TX,26.4,233479
Smyth County,VA,14.6,29800
Snohomish County,WA,32.8,827957
Snyder County,PA,19.8,39736
Socorro County,NM,22,16595
Solano County,CA,26.9,453491
Somerset County,MD,14.4,24620
Somerset County,ME,16.5,50477
Somerset County,NJ,54.7,345361
Somerset County,PA,15.9,74129
Somervell County,TX,26.4,9205
Sonoma County,CA,35.5,488863
Southampton County,VA,18.4,17996
Southeast Fairbanks Census Area,AK,19.7,6808
Spalding County,GA,17.8,67306
Spartanburg County,SC,24.5,327997
Spencer County,IN,15.2,19810
Spencer County,KY,20.3,19490
Spink County,SD,21.8,6361
Spokane County,WA,30.8,539339
Spotsylvania County,VA,31.7,140032
St. Bernard Parish,LA,11.6,43764
St. Charles County,MO,38.9,405262
St. Charles Parish,LA,25.3,52549
St. Clair County,AL,16.1,91103
St. Clair County,IL,28,257400
St. Clair County,MI,18.6,160383
St. Clair County,MO,13.9,9284
St. Croix County,WI,35.4,93536
St. Francis County,AR,10.4,23090
St. Francois County,MO,14.3,66922
St. Helena Parish,LA,16.7,10920
St. James Parish,LA,16.3,20192
St. John the Baptist Parish,LA,15.9,42477
St. Johns County,FL,44.7,273425
St. Joseph County,IN,29.6,272912
St. Joseph County,MI,16.2,60939
St. Landry Parish,LA,14.8,82540
St. Lawrence County,NY,23.8,108505
St. Louis County,MN,29.3,200231
St. Louis County,MO,43.6,1004125
St. Louis city,MO,36.3,301578
St. Lucie County,FL,21.6,329226
St. Martin Parish,LA,14.5,51767
St. Mary Parish,LA,10.2,49406
St. Mary's County,MD,31.9,113777
St. Tammany Parish,LA,33.8,264570
Stafford County,KS,25.2,4072
Stafford County,VA,39.9,156927
Stanislaus County,CA,17.1,552878
Stanley County,SD,32.1,2980
Stanly County,NC,17.3,62504
Stanton County,KS,19,2084
Stanton County,NE,17.8,5842
Stark County,IL,17,5400
Stark County,ND,22.4,33646
Stark County,OH,22.8,374853
Starke County,IN,11.9,23371
Starr County,TX,9.9,65920
Staunton city,VA,33.4,25750
Ste. Genevieve County,MO,19.7,18479
Stearns County,MN,27.5,158292
Steele County,MN,26,37406
Steele County,ND,30.9,1798
Stephens County,GA,21,26784
Stephens County,OK,16.9,42848
Stephens County,TX,16.2,9101
Stephenson County,IL,19.6,44630
Sterling County,TX,9.5,1372
Steuben County,IN,21.8,34435
Steuben County,NY,23.6,93584
Stevens County,KS,13.7,5250
Stevens County,MN,30.5,9671
Stevens County,WA,18.7,46445
Stewart County,GA,12.2,5314
Stewart County,TN,15.6,13657
Stillwater County,MT,25,8963
Stoddard County,MO,13.3,28672
Stokes County,NC,14.1,44520
Stone County,AR,13.9,12359
Stone County,MO,18.6,31076
Stone County,MS,15.8,18333
Stonewall County,TX,14.8,1245
Storey County,NV,31.4,4104
Story County,IA,51.6,98537
Strafford County,NH,35.8,130889
Stutsman County,ND,23.7,21593
Sublette County,WY,22.8,8728
Suffolk County,MA,46.1,797936
Suffolk County,NY,36.3,1525920
Suffolk city,VA,29.5,94324
Sullivan County,IN,12.1,20817
Sullivan County,MO,11.7,5999
Sullivan County,NH,28.1,43063
Sullivan County,NY,24.8,78624
Sullivan County,PA,17.2,5840
Sullivan County,TN,23.6,158163
Sully County,SD,25,1446
Summers County,WV,14.5,11959
Summit County,CO,52.4,31055
Summit County,OH,32.5,540428
Summit County,UT,55,42357
Sumner County,KS,23.3,22382
Sumner County,TN,28.1,196281
Sumter County,AL,21.6,12345
Sumter County,FL,31.8,129752
Sumter County,GA,18.3,29616
Sumter County,SC,19.3,105556
Sunflower County,MS,15.4,25971
Surry County,NC,18,71359
Surry County,VA,20.6,6561
Susquehanna County,PA,18.6,38434
Sussex County,DE,28.3,237378
Sussex County,NJ,36.1,144221
Sussex County,VA,12.7,10829
Sutter County,CA,18.2,99633
Sutton County,TX,17.1,3372
Suwannee County,FL,15.5,43474
Swain County,NC,18.2,14117
Sweet Grass County,MT,25.4,3678
Sweetwater County,WY,22.5,42272
Swift County,MN,19.6,9838
Swisher County,TX,15.3,6971
Switzerland County,IN,10.9,9737
Talbot County,GA,12.1,5733
Talbot County,MD,40.6,37526
Taliaferro County,GA,8.1,1559
Talladega County,AL,15,82149
Tallahatchie County,MS,10.3,12715
Tallapoosa County,AL,18.4,41311
Tama County,IA,15.8,17135
Taney County,MO,19.9,56066
Tangipahoa Parish,LA,20,133157
Taos County,NM,28.7,34489
Tarrant County,TX,32.3,2110640
Tate County,MS,15.8,28064
Tattnall County,GA,13.2,22842
Taylor County,FL,8.3,21796
Taylor County,GA,12.6,7816
Taylor County,IA,14.5,5896
Taylor County,KY,19.6,26023
Taylor County,TX,25.2,143208
Taylor County,WI,15.1,19913
Taylor County,WV,17.3,16705
Tazewell County,IL,26.3,131343
Tazewell County,VA,14.9,40429
Tehama County,CA,15.7,65829
Telfair County,GA,8.6,12477
Teller County,CO,37.7,24710
Tensas Parish,LA,11.4,4147
Terrebonne Parish,LA,15.6,109580
Terrell County,GA,11.2,9185
Terrell County,TX,18.4,760
Terry County,TX,11.4,11831
Teton County,ID,41,11630
Teton County,MT,24.9,6226
Teton County,WY,57,23331
Texas County,MO,13.5,24487
Texas County,OK,22.1,21384
Thayer County,NE,18.8,5034
Thomas County,GA,24.7,45798
Thomas County,KS,22.6,7930
Thomas County,NE,24.7,669
Throckmorton County,TX,21.7,1440
Thurston County,NE,16.4,6773
Thurston County,WA,35.7,294793
Tift County,GA,18.1,41344
Tillamook County,OR,21.8,27390
Tillman County,OK,17.3,6968
Tioga County,NY,26,48455
Tioga County,PA,19.1,41045
Tippah County,MS,15.2,21815
Tippecanoe County,IN,38.7,186251
Tipton County,IN,24.7,15359
Tipton County,TN,17.3,60970
Tishomingo County,MS,11.4,18850
Titus County,TX,16.3,31247
Todd County,KY,13.2,12243
Todd County,MN,15.1,25262
Todd County,SD,15.6,9319
Tolland County,CT,41.8,149788
Tom Green County,TX,24.5,120003
Tompkins County,NY,53.5,105740
Tooele County,UT,24.2,72698
Toole County,MT,15.2,4971
Toombs County,GA,16.2,27030
Torrance County,NM,14.8,15045
Towner County,ND,17,2162
Towns County,GA,30.1,12493
Traill County,ND,28.9,7997
Transylvania County,NC,32.6,32986
Traverse County,MN,17.5,3360
Travis County,TX,50,1290188
Treasure County,MT,25.4,762
Trego County,KS,24.8,2808
Trempealeau County,WI,19.3,30760
Treutlen County,GA,12.4,6406
Trigg County,KY,16.6,14061
Trimble County,KY,14.1,8474
Trinity County,CA,19.5,16112
Trinity County,TX,12.9,13602
Tripp County,SD,22.3,5624
Troup County,GA,19,69426
Trousdale County,TN,13.8,11615
Trumbull County,OH,18.7,201977
Tucker County,WV,19.4,6762
Tulare County,CA,14.6,473117
Tulsa County,OK,31.8,669279
Tunica County,MS,16.9,9782
Tuolumne County,CA,20.5,55620
Turner County,GA,11.7,9006
Turner County,SD,23.7,8673
Tuscaloosa County,AL,30.7,227036
Tuscarawas County,OH,17.4,93263
Tuscola County,MI,13.5,53323
Twiggs County,GA,11.8,8022
Twin Falls County,ID,20.6,90046
Tyler County,TX,13.4,19798
Tyler County,WV,14.1,8313
Tyrrell County,NC,10.6,3245
Uinta County,WY,16,20450
Uintah County,UT,15.8,35620
Ulster County,NY,32.5,181851
Umatilla County,OR,17.2,80075
Unicoi County,TN,14.8,17928
Union County,AR,21.1,39054
Union County,FL,9.2,16147
Union County,GA,22.5,24632
Union County,IA,18,12138
Union County,IL,21.7,17244
Union County,IN,18.5,7087
Union County,KY,11.1,13668
Union County,MS,13.4,27777
Union County,NC,35.4,238267
Union County,NJ,36,575345
Union County,NM,11.7,4079
Union County,OH,35.5,62784
Union County,OR,24.5,26196
Union County,PA,26,42681
Union County,SC,11.3,27244
Union County,SD,30.6,16811
Union County,TN,9.9,19802
Union Parish,LA,17.2,21107
Upshur County,TX,17.1,40892
Upshur County,WV,16.9,23816
Upson County,GA,13.4,27700
Upton County,TX,9.6,3308
Utah County,UT,40.8,659399
Uvalde County,TX,17.9,24564
Val Verde County,TX,18.4,47586
Valencia County,NM,18.5,76205
Valley County,ID,30.4,11746
Valley County,MT,21.5,7578
Valley County,NE,24.2,4059
Van Buren County,AR,14.5,15796
Van Buren County,IA,14.4,7203
Van Buren County,MI,21.7,75587
Van Buren County,TN,7.8,6168
Van Wert County,OH,16.6,28931
Van Zandt County,TX,15.8,59541
Vance County,NC,14.8,42578
Vanderburgh County,IN,27,180136
Venango County,PA,18.7,50454
Ventura County,CA,33.8,843843
Vermilion County,IL,14.7,74188
Vermilion Parish,LA,14.2,57359
Vermillion County,IN,14.2,15439
Vernon County,MO,18.9,19707
Vernon County,WI,22.4,30714
Vernon Parish,LA,17.5,48750
Victoria County,TX,20,91319
Vigo County,IN,25.1,106153
Vilas County,WI,29.1,23047
Vinton County,OH,12.8,12800
Virginia Beach city,VA,36,459470
Volusia County,FL,23.7,553543
Wabash County,IL,18.2,11361
Wabash County,IN,18.1,30976
Wabasha County,MN,23.7,21387
Wabaunsee County,KS,24.2,6877
Wadena County,MN,13.8,14065
Wagoner County,OK,23.2,80981
Wahkiakum County,WA,19.4,4422
Wake County,NC,52.8,1129410
Wakulla County,FL,18.3,33764
Waldo County,ME,31.4,39607
Walker County,AL,11.3,65342
Walker County,GA,16.6,67654
Walker County,TX,20.8,76400
Walla Walla County,WA,29.8,62584
Wallace County,KS,32.4,1512
Waller County,TX,21.1,56794
Wallowa County,OR,26.4,7391
Walsh County,ND,17.2,10563
Walthall County,MS,14.4,13884
Walton County,FL,28.5,75305
Walton County,GA,21.7,96673
Walworth County,SD,24.9,5315
Walworth County,WI,28.8,106478
Wapello County,IA,18.8,35437
Ward County,ND,29.3,69919
Ward County,TX,12.5,11644
Ware County,GA,15.2,36251
Warren County,GA,12.3,5215
Warren County,IA,31.9,52403
Warren County,IL,22.8,16835
Warren County,IN,19.4,8440
Warren County,KY,32.2,134554
Warren County,MO,19.1,35532
Warren County,MS,22.4,44722
Warren County,NC,15.8,18642
Warren County,NJ,33,109632
Warren County,NY,31.3,65737
Warren County,OH,43,242337
Warren County,PA,19.5,38587
Warren County,TN,14.5,40953
Warren County,VA,21.7,40727
Warrick County,IN,30.3,63898
Wasatch County,UT,39.9,34788
Wasco County,OR,19.6,26670
Waseca County,MN,21.4,18968
Washakie County,WY,23.4,7685
Washburn County,WI,23,16623
Washington County,AL,12.7,15388
Washington County,AR,33.3,245871
Washington County,CO,15.4,4817
Washington County,FL,12.5,25318
Washington County,GA,12.3,19988
Washington County,IA,21.8,22565
Washington County,ID,16.3,10500
Washington County,IL,20.9,13761
Washington County,IN,13.4,28182
Washington County,KS,20.3,5530
Washington County,KY,18.8,12027
Washington County,MD,21.9,154705
Washington County,ME,22,31095
Washington County,MN,44.3,267568
Washington County,MO,9.9,23514
Washington County,MS,17.9,44922
Washington County,NC,11.5,11003
Washington County,NE,29.9,20865
Washington County,NY,20.5,61302
Washington County,OH,18.8,59771
Washington County,OK,28.5,52455
Washington County,OR,44.4,600372
Washington County,PA,30,209349
Washington County,RI,46.1,129839
Washington County,TN,31.8,133001
Washington County,TX,26.8,35805
Washington County,UT,28.1,180279
Washington County,VA,22.8,53935
Washington County,VT,41.8,59807
Washington County,WI,31.5,136761
Washington Parish,LA,11.6,45463
Washita County,OK,20.8,10924
Washoe County,NV,30.8,486492
Washtenaw County,MI,55.9,372258
Watauga County,NC,42.2,54086
Watonwan County,MN,15.5,11253
Waukesha County,WI,44.5,406978
Waupaca County,WI,19.9,51812
Waushara County,WI,16.3,24520
Wayne County,GA,13,30144
Wayne County,IA,12.7,6497
Wayne County,IL,15.4,16179
Wayne County,IN,18.2,66553
Wayne County,KY,12.3,19555
Wayne County,MI,23.9,1793561
Wayne County,MO,9.6,10974
Wayne County,MS,15.3,19779
Wayne County,NC,19,117333
Wayne County,NE,32.4,9697
Wayne County,NY,22.6,91283
Wayne County,OH,22.2,116894
Wayne County,PA,20.4,51155
Wayne County,TN,9.7,16232
Wayne County,UT,23.4,2486
Wayne County,WV,15.1,38982
Waynesboro city,VA,27.1,22196
Weakley County,TN,21.6,32902
Webb County,TX,18.9,267114
Weber County,UT,24.5,262223
Webster County,GA,14.7,2348
Webster County,IA,19.9,36999
Webster County,KY,10,13017
Webster County,MO,16.8,39085
Webster County,MS,18.5,9926
Webster County,NE,23,3395
Webster County,WV,11.4,8378
Webster Parish,LA,15.4,36967
Weld County,CO,27.5,328981
Wells County,IN,18.2,28180
Wells County,ND,22.2,3982
West Baton Rouge Parish,LA,22,27199
West Carroll Parish,LA,11.7,9751
West Feliciana Parish,LA,24.2,15310
Westchester County,NY,48.9,1004457
Westmoreland County,PA,29.1,354663
Westmoreland County,VA,19.2,18477
Weston County,WY,20,6838
Wetzel County,WV,12,14442
Wexford County,MI,18.2,33673
Wharton County,TX,18,41570
Whatcom County,WA,34.3,226847
Wheatland County,MT,19.6,2069
Wheeler County,GA,13.6,7471
Wheeler County,NE,19.4,774
Wheeler County,OR,14.9,1451
Wheeler County,TX,16.8,4990
White County,AR,20.9,76822
White County,GA,22.7,28003
White County,IL,15.5,13877
White County,IN,16.4,24688
White County,TN,12.3,27351
White Pine County,NV,13.2,9080
Whiteside County,IL,18.2,55691
Whitfield County,GA,15.7,102864
Whitley County,IN,20.7,34191
Whitley County,KY,20.4,36712
Whitman County,WA,49.8,47973
Wibaux County,MT,23.4,937
Wichita County,KS,20.6,2152
Wichita County,TX,23.1,129350
Wicomico County,MD,27.2,103588
Wilbarger County,TX,15.2,12887
Wilcox County,AL,12.5,10600
Wilcox County,GA,12.2,8766
Wilkes County,GA,13.8,9565
Wilkes County,NC,15.8,65969
Wilkin County,MN,23.8,6506
Wilkinson County,GA,10.9,8877
Wilkinson County,MS,13.7,8587
Will County,IL,34.3,696355
Willacy County,TX,8.9,20164
Williams County,ND,23.6,40950
Williams County,OH,15.2,37102
Williamsburg County,SC,12.3,31026
Williamsburg city,VA,56.8,15425
Williamson County,IL,24.3,67153
Williamson County,TN,59.8,247726
Williamson County,TX,41.3,609017
Wilson County,KS,16.5,8624
Wilson County,NC,19.6,78784
Wilson County,TN,32.4,147737
Wilson County,TX,21.8,49753
Winchester city,VA,35.1,28120
Windham County,CT,24.3,116418
Windham County,VT,38.1,45905
Windsor County,VT,38.2,57753
Winkler County,TX,8.2,7791
Winn Parish,LA,13.9,13755
Winnebago County,IA,21.8,10679
Winnebago County,IL,22.9,285350
Winnebago County,WI,28.3,171730
Winneshiek County,IA,30.6,20070
Winona County,MN,30.1,49671
Winston County,AL,12.8,23540
Winston County,MS,14.7,17714
Wirt County,WV,11.2,5194
Wise County,TX,18,68632
Wise County,VA,15,36130
Wolfe County,KY,8.7,6562
Wood County,OH,33.5,132248
Wood County,TX,16.6,44843
Wood County,WI,21.6,74207
Wood County,WV,21.9,84296
Woodbury County,IA,23.1,105941
Woodford County,IL,33.2,38467
Woodford County,KY,33.8,26871
Woodruff County,AR,14,6269
Woods County,OK,30.3,8624
Woodson County,KS,17.2,3115
Woodward County,OK,19.4,20470
Worcester County,MA,36.4,862111
Worcester County,MD,29,52460
Worth County,GA,11,20784
Worth County,IA,17.5,7443
Worth County,MO,20,1973
Wrangell City and Borough,AK,19.4,2127
Wright County,IA,17.2,12943
Wright County,MN,29.6,141337
Wright County,MO,10.2,18188
Wyandot County,OH,17.2,21900
Wyandotte County,KS,18.1,169245
Wyoming County,NY,17.7,40531
Wyoming County,PA,19.6,26069
Wyoming County,WV,9.3,21382
Wythe County,VA,19,28290
Yadkin County,NC,11.6,37214
Yakima County,WA,16.7,256728
Yakutat City and Borough,AK,22.6,662
Yalobusha County,MS,13.8,12481
Yamhill County,OR,26.9,107722
Yancey County,NC,20.3,18470
Yankton County,SD,25.7,23310
Yates County,NY,25.2,24774
Yavapai County,AZ,25.9,236209
Yazoo County,MS,13.4,26743
Yell County,AR,12.8,20263
Yellow Medicine County,MN,17.2,9528
Yellowstone County,MT,32.1,164731
Yoakum County,TX,12.7,7694
Yolo County,CA,41.4,216403
York County,ME,32.5,211972
York County,NE,28.4,14125
York County,PA,24.9,456438
York County,SC,33.3,282090
York County,VA,47.1,70045
Young County,TX,19.3,17867
Yuba County,CA,17.1,81575
Yukon-Koyukuk Census Area,AK,13.6,5343
Yuma County,AZ,15,203881
Yuma County,CO,21.8,9988
Zapata County,TX,11.6,13889
Zavala County,TX,10.9,9670
Ziebach County,SD,16.4,2413