County,State,Education,Population
Aleutians East Borough,AK,11.5,3420
Aleutians West Census Area,AK,17,5232
Anchorage Municipality,AK,36.1,291247
Bethel Census Area,AK,11.9,18666
Bristol Bay Borough,AK,22.5,844
Denali Borough,AK,41.1,1619
Dillingham Census Area,AK,22.1,4857
Fairbanks North Star Borough,AK,31.4,95655
Haines Borough,AK,33.8,2080
Hoonah-Angoon Census Area,AK,21.3,2365
Juneau City and Borough,AK,38.4,32255
Kenai Peninsula Borough,AK,24.6,58799
Ketchikan Gateway Borough,AK,25.3,13948
Kodiak Island Borough,AK,28,13101
Lake and Peninsula Borough,AK,16.1,1476
Matanuska-Susitna Borough,AK,21.6,107081
Nome Census Area,AK,16.1,10046
North Slope Borough,AK,16.5,11031
Northwest Arctic Borough,AK,13.2,7793
Petersburg Borough,AK,28.4,3398
Prince of Wales-Hyder Census Area,AK,18.3,5753
Sitka City and Borough,AK,33.4,8458
Skagway Municipality,AK,29.6,1240
Southeast Fairbanks Census Area,AK,19.7,6808
Wrangell City and Borough,AK,19.4,2127
Yakutat City and Borough,AK,22.6,662
Yukon-Koyukuk Census Area,AK,13.6,5343
Autauga County,AL,26.6,58805
Baldwin County,AL,31.9,231767
Barbour County,AL,11.6,25223
Bibb County,AL,10.4,22293
Blount County,AL,13.1,59134
Bullock County,AL,12.1,10357
Butler County,AL,16.1,19051
Calhoun County,AL,18.5,116441
Chambers County,AL,13.3,34772
Cherokee County,AL,12.8,24971
Chilton County,AL,12.7,45014
Choctaw County,AL,11.9,12665
Clarke County,AL,12.2,23087
Clay County,AL,10.6,14236
Cleburne County,AL,15.4,15056
Coffee County,AL,22.8,53465
Colbert County,AL,18.1,57227
Conecuh County,AL,12.8,11597
Coosa County,AL,12.8,10387
Covington County,AL,15.3,37570
Crenshaw County,AL,17.4,13194
Cullman County,AL,13.9,87866
Dale County,AL,18.1,49326
Dallas County,AL,14.7,38462
DeKalb County,AL,13,71608
Elmore County,AL,25.1,87977
Escambia County,AL,12.5,36757
Etowah County,AL,17.8,103436
Fayette County,AL,12.4,16321
Franklin County,AL,14,32113
Geneva County,AL,12.5,26659
Greene County,AL,10.1,7730
Hale County,AL,14.2,14785
Henry County,AL,17.1,17146
Houston County,AL,21.7,107202
Jackson County,AL,14,52579
Jefferson County,AL,33.4,674721
Lamar County,AL,11.9,13972
Lauderdale County,AL,23.5,93564
Lawrence County,AL,12.6,33073
Lee County,AL,35.3,174241
Limestone County,AL,25.7,103570
Lowndes County,AL,14.7,10311
Macon County,AL,20.4,19532
Madison County,AL,42.8,388153
Marengo County,AL,16.1,19323
Marion County,AL,12.8,29341
Marshall County,AL,19.4,97612
Mobile County,AL,23.2,414809
Monroe County,AL,13.5,19772
Montgomery County,AL,33.4,228954
Morgan County,AL,22.4,123421
Perry County,AL,22.8,8511
Pickens County,AL,14.1,19123
Pike County,AL,23.7,33009
Randolph County,AL,16.5,21967
Russell County,AL,17.8,59183
Shelby County,AL,42.9,223024
St. Clair County,AL,16.1,91103
Sumter County,AL,21.6,12345
Talladega County,AL,15,82149
Tallapoosa County,AL,18.4,41311
Tuscaloosa County,AL,30.7,227036
Walker County,AL,11.3,65342
Washington County,AL,12.7,15388
Wilcox County,AL,12.5,10600
Winston County,AL,12.8,23540
Arkansas County,AR,15.8,17149
Ashley County,AR,12.3,19062
Baxter County,AR,17.9,41627
Benton County,AR,33.4,284333
Boone County,AR,16.1,37373
Bradley County,AR,14.3,10545
Calhoun County,AR,11.4,4739
Carroll County,AR,21.2,28260
Chicot County,AR,15.9,10208
Clark County,AR,26.6,21446
Clay County,AR,12.6,14552
Cleburne County,AR,15.5,24711
Cleveland County,AR,16.2,7550
Columbia County,AR,19.6,22801
Conway County,AR,15.6,20715
Craighead County,AR,26.2,111231
Crawford County,AR,16,60133
Crittenden County,AR,17.4,48163
Cross County,AR,14.4,16833
Dallas County,AR,11.9,6482
Desha County,AR,14.1,11395
Drew County,AR,22.8,17350
Faulkner County,AR,30.6,123498
Franklin County,AR,12.1,17097
Fulton County,AR,12.2,12075
Garland County,AR,21.6,100180
Grant County,AR,18.7,17958
Greene County,AR,16.2,45736
Hempstead County,AR,15.1,20065
Hot Spring County,AR,13.3,33040
Howard County,AR,13.6,12785
Independence County,AR,17.5,37938
Izard County,AR,13.1,13577
Jackson County,AR,10.1,16755
Jefferson County,AR,18,67260
Johnson County,AR,15.4,25749
Lafayette County,AR,15.8,6308
Lawrence County,AR,15.4,16216
Lee County,AR,10.7,8600
Lincoln County,AR,9.7,12941
Little River County,AR,12.5,12026
Logan County,AR,13.3,21131
Lonoke County,AR,20.6,74015
Madison County,AR,14.2,16521
Marion County,AR,17.1,16826
Miller County,AR,16.8,42600
Mississippi County,AR,13.8,40685
Monroe County,AR,12.7,6799
Montgomery County,AR,13.5,8484
Nevada County,AR,14.6,8310
Newton County,AR,20.5,7225
Ouachita County,AR,14.5,22650
Perry County,AR,12.7,10019
Phillips County,AR,13.8,16568
Pike County,AR,17.3,10171
Poinsett County,AR,11.1,22965
Polk County,AR,14.1,19221
Pope County,AR,22.8,63381
Prairie County,AR,15.4,8282
Pulaski County,AR,34.3,399125
Randolph County,AR,13.8,18571
Saline County,AR,26.7,123416
Scott County,AR,9.3,9836
Searcy County,AR,11.9,7828
Sebastian County,AR,21.3,127799
Sevier County,AR,12.8,15839
Sharp County,AR,10.2,17271
St. Francis County,AR,10.4,23090
Stone County,AR,13.9,12359
Union County,AR,21.1,39054
Van Buren County,AR,14.5,15796
Washington County,AR,33.3,245871
White County,AR,20.9,76822
Woodruff County,AR,14,6269
Yell County,AR,12.8,20263
Apache County,AZ,12.3,66021
Cochise County,AZ,23.1,125447
Coconino County,AZ,36.2,145101
Gila County,AZ,18.7,53272
Graham County,AZ,15.2,38533
Greenlee County,AZ,13.5,9563
La Paz County,AZ,12,16557
Maricopa County,AZ,32.7,4420568
Mohave County,AZ,12.9,213267
Navajo County,AZ,15.3,106717
Pima County,AZ,32.4,1043433
Pinal County,AZ,19.5,425264
Santa Cruz County,AZ,20.4,47669
Yavapai County,AZ,25.9,236209
Yuma County,AZ,15,203881
Alameda County,CA,47.4,1682353
Alpine County,CA,34.5,1204
Amador County,CA,19.3,40474
Butte County,CA,27.2,211632
Calaveras County,CA,18.3,45292
Colusa County,CA,15,21839
Contra Costa County,CA,42.4,1165927
Del Norte County,CA,14.8,27743
El Dorado County,CA,34.3,191185
Fresno County,CA,21.2,1008654
Glenn County,CA,14.2,28917
Humboldt County,CA,30.4,136463
Imperial County,CA,15.2,179702
Inyo County,CA,27.2,19016
Kern County,CA,16.4,909235
Kings County,CA,14.7,152486
Lake County,CA,15.5,68163
Lassen County,CA,12.9,32730
Los Angeles County,CA,32.5,10014009
Madera County,CA,14.6,156255
Marin County,CA,59.5,262321
Mariposa County,CA,24.6,17131
Mendocino County,CA,24.4,91601
Merced County,CA,13.8,281202
Modoc County,CA,15.2,8700
Mono County,CA,28.8,13195
Monterey County,CA,24.7,439035
Napa County,CA,35.7,138019
Nevada County,CA,37.2,102241
Orange County,CA,40.6,3186989
Placer County,CA,39.7,404739
Plumas County,CA,23.7,19790
Riverside County,CA,22.3,2418185
Sacramento County,CA,30.9,1585055
San Benito County,CA,19.7,64209
San Bernardino County,CA,21,2181654
San Diego County,CA,38.8,3298634
San Francisco County,CA,58.1,873965
San Joaquin County,CA,18.8,779233
San Luis Obispo County,CA,35.4,282424
San Mateo County,CA,51,764442
Santa Barbara County,CA,34.2,448229
Santa Clara County,CA,52.4,1936259
Santa Cruz County,CA,40.8,270861
Shasta County,CA,22.2,182155
Sierra County,CA,17.9,3236
Siskiyou County,CA,23.2,44076
Solano County,CA,26.9,453491
Sonoma County,CA,35.5,488863
Stanislaus County,CA,17.1,552878
Sutter County,CA,18.2,99633
Tehama County,CA,15.7,65829
Trinity County,CA,19.5,16112
Tulare County,CA,14.6,473117
Tuolumne County,CA,20.5,55620
Ventura County,CA,33.8,843843
Yolo County,CA,41.4,216403
Yuba County,CA,17.1,81575
